hsa-miR-561-5p_MIMAT0022706	n22	3
hsa-miR-660-5p_MIMAT0003338	n22	4
hsa-miR-6775-3p_MIMAT0027451	n21	1
hsa-miR-708-3p_MIMAT0004927	n22	1
hsa-miR-7-5p_MIMAT0000252	n24	1
hsa-miR-887-3p_MIMAT0004951	n22	1
hsa-miR-92a-3p_MIMAT0000092	n22	191
hsa-miR-92b-3p_MIMAT0003218	n22	6
hsa-miR-93-3p_MIMAT0004509	n22	1
hsa-miR-93-5p_MIMAT0000093	n23	7
hsa-miR-9-5p_MIMAT0000441	n23	1
hsa-miR-96-5p_MIMAT0000095	n23	1
hsa-miR-98-5p_MIMAT0000096	n22	7
hsa-miR-99a-5p_MIMAT0000097	n22	2
hsa-miR-99b-5p_MIMAT0000689	n22	22
